"ПРОДУКТ","","","","","ЭТАПЫ ПРОДАЖ","","","","","","ОТРАБОТКА ВОЗРАЖЕНИЙ","","",""
"Товар","Для чего аппарат","Описание","Какое результат получает клиент","Принцип действия","Этап","","Цель этапа","Фразы","Цель вопроса","Особенность","Возражение","Что на самом деле ","Что нужно сделать","Пример фразы"
"Cordus Pro","Для спины, шеи, поясницы.","Механо-терапевтический аппарат с эластичными массажными вершинами — из термоэластопласта (с эффектом памяти), которые подстраиваются под индивидуальный тонус мышц. И магнитотерапией (внутри имеет 2 неодимовых магнита), которая способствует усилению  релаксации и усилению капиллярного кровотока в тканях позвоночника.","Снимает боль и напряжение, а также расслабляет глубокие околопозвоночные мышцы (которые находятся на глубине 30 мм), устраняя компрессию диска и позволяя ему восстанавливаться.(резорбци грыжи)","Когда вы ложитесь на аппарат, его анатомические вершины погружаются в глубокие мышцы на 30 миллиметров, что снимает спазм – ключевую причину болей в спине. Такую глубокую проработку не обеспечивает ни один другой аппаратный или мануальный метод лечения спины.","1","Установление контакта","Завладеть вниманием клиента для продолжения диалога","""Имя"", Здравствуйте! Терапия позвоночника CORDUS+SACRUS, Вы заполняли опрос по проблемам с Вашей спиной. Можете поподробнее рассказать о своей проблеме?
","Необходимо чтобы клиент сразу погрузился и начал рассказывать про свою боль","Утвердительная форма налачал диалога. Даже если клиент не помнит о своем обращение, озвучиваем варианты получения информации, опираясь на ответы из анкеты и на возможную рекламу увиденную у блогеров. Смотрим откуда пришел клиент.","У меня уже все прошло","Клиент ошибочно думает, что вылечился","Объяснить причину боли","Очень хорошо, что на текущий момент у вас прошел пиковый период боли. Но если у вас уже возникала боль, что с бОльшей вероятностью она может повторится в случае если ничего делать. , т.к. причина боли (спазмированнгсть глубоких мышц) не устранена. В таком случае даже в безсимптомном состоянии происходит дегенерация проблемной зоны, что в дальнейшем может привести к операциям или дорогстоящему лечению."
"Cordus Vibro","Для спины, шеи, поясницы.","Профессиональный физиотерапевтический аппарат для разгрузки позвоночника дополнительно с  2 режимами вибротерапии.","Дополнительно за счет вибрации: легче и быстрее достигается эффект расслабления околопозвоночных мышц и мобилизация суставов позвонков снимается нервно-психическое напряжение и улучшает сон. ","Дополнительно: вибрация на частоте 16 Гц, эффективнеее расслабляяет глубокие мышцы. Режимами вибрации разной частоты  нормализуется работа периферической нервной системы, снимается нервно-психическое напряжение и улучшает сон. ","","","","Добрый день, ""Имя""!  Я звоню Вам из Центра терапии позвоночника CORDUS+SACRUS. Вы оставляли заявку на консультацию. Я готова Вас проконсультировать и рассказать как применить методику для решения боли в спине.","Выражаем готовность в консультации. НЕ СПРАШИВАЕМ ""Актуальна ли консультация?""","","Ничего не нужно","Клиент не понимает ценность звонка","Донести пользу от звонка. Показать что мы не предлагаем товар , а предлагаем методику","Судя по вашему запросу у Вас была проблема в области спины . Я просто готова Вам  рассказать про способ снятия именно причины боли. Когда боль вновь возникнет обращайтся к нам
Мы хотели проконусльтировать и предоставить совершенно бесплатно лечебные упражнения"
"","","","","","","","","","","","А вы где находитесь","Опасение в неудобном сервисе","Объяснить о всех сервисных приемуществах","Методика Cordus+Sacrus работает по всему миру. После покупки Вы сможете всегда получить консультацию по телефону по методике или возникшим вопросам"
"Sacrus Pro (Easy)","Для зоны крестца, диафрагмы и черепа.","Механно-терапевтический аппарат с элластичными  вершинами из термоэлластопласта (с эффектом памяти), которые подстраиваются под индивидуальный тонус мышц. И магнитотерапией (внутри имеет 1 неодимовый магнит) воздействует на зону напряженных мышц и связок, анатомически точно повторяет форму крестца.","Снимает боль и напряжение, улучшает кровоток в органах малого таза и позвоночнике, центрирует крестец, разгружает тазобедренный сустав, снимает напряжение в связках колена.","Когда вы ложитесь на аппарат, его анатомические вершины погружаются в глубокие мышцы на 30 миллиметров, что снимает спазм – ключевую причину болей в спине. Вершины сделаны из термоэластопласта, который по плотности максимально близкий к плотности мышцы. Благодаря анатомической форме аппарат Sacrus Pro точно погружается термоэластопластовыми вершинами в зону напряженных мышц и связок, расслабляя их мягко и физиологично. ","2","Выявление причины обращения","Собрать подробную информацию, на основе которой будем строить презентацию продукта для продажи","В опросе Вы написали что у вас болит (перечисляем то что ответил клиент в опросе)? ","Проверяем корректность заполнения и подтверждаем клиенту , что наша цель звонка в решении проблемы с болью клиента, а не с целью снять деньги с карты.","Больше говорит клиент, при этом  мы управляем диалогом, контролируем время","Я про Вас ничего не знаю","Недоверие к компании","Не знание клиента не говорит, об отсуствии признания во всем мире","При выборе продукта хочется определнной его известности, кратко отмечу мы уже 5 Лет экспортеры года. И У Вас сейчас есть возможность самостоятельно составить свое мнение о нашем аппарате. Тем более, что методика реализуется  в 48 странах  с доказанной клинической эффективностью в 78-94%. используется С 2012г более 250 клиник и оздоровительных центров по всему миру и 180 000 семей оценили результат терапии позвоночника аппартами Cordus и Sacrus. Более того прямо сейчас ввести в Яндексе автора методики Юрия Корюкалова и посмотреть огромное количество публикации его о нем во всем мире."
"Sacrus Physio (Vibro)","Для зоны крестца, диафрагмы и черепа.","Профессиональный физиотерапевтический аппарат с  элластичными  вершинами из термоэластопласта 2 режимами вибрации и нейростимуляцией","Происходит глубокая разгрузка зоны крестца, диафрагмы, черепа, суставов и нервной системой ,  а также улучшает кровоток в органах малого таза и позвоночнике. Нейростимуляция обеспечивает восстановление проводимости по ранее компримированным нервам и активирует процессы саморегуляции на фоне релаксации нервонй системы.","Дополнительно : Микротоки альфа-модуляции нормализуют работу нервной системы, снимая нервно-психическое напряжение, улучшают сон и улучшают кровоток. Нейростимуляция лучше разбивает застойные процессы.","","","","Подскажите есть ли еще дискомфортные ощущения в … ?(называем другие зоны не указанные в опроснике)
Болит ли еще в области….?((называем другие зоны не указанные в опроснике))","Начинаем формировать скрытую потребноть на  варианты  применения комплекта CORDUS+SACRUS","","Уже много покупал разных аппаратов не помогают, ваши такие же","Нет понимания отличия всех аппаратов от  методики Cordus+Sacrus","Дать понять, доказанную медицинскую эффективность.(в отличие от других аппаратов)","""Имя"", я Вас понимаю, действительно сейчас на рынке очень много не сертифицированных аппаратов вариантов для гимнастики. Какие виды аппаратов вы использовали? А продавцы давали какие гарантии результата? Наши аппаратами являются медицинским прибором, который имеет Регистрационное удостоверение и запатентованны в 48 странах  с доказанной клинической эффективностью в 78-94% (зависит от возраста и вида дисфункции позвоночника). С 2012г более 250 клиник и оздоровительных центров по всему миру и 180 000 семей оценили результат терапии позвоночника аппартами Cordus и Sacrus.
Мы настолько уверены в эффективности методики, что даем гарантию на результат , если после полного проведенного курса Вы не почувствуете результат, мы готовы вернуть деньги."
"Sacrus Ero","Для женского здоровья, улучшает состояние таза  и положение матки. Для улучшения состояния женской половой системы","Профессиональный физиотерапевтический аппарат с эластичными терапевтическими вершинами из термоэластопласта и воздействием специальной модуляции токов, направленных на мыщцы тазового дна имеющий несуолько режимов вибрации.","Модуляция токов настроена на :
- повышение возбудимости
- повышение чувствительности центров, регулирующих сексуальность
- устранение эмоционального напряжения и обеспечения раскованности
Режим вибрации : 
- раскрывает таз и улучшает кровоток, уменьшая застой крови в органах малого таза. 
- за счет проработку зоны копчика снимает напряжение связок идущих от копчика к матке, что повышает возможности для зачатия","Режимы медленночастотной вибрации имеют синусоидальную структуру, что позволяет глубже проработать мышцы тазового дна и улучшить их трофику, помогают нормализовать состояние тазовой диафрагмы и повышают либидо.
Высокочастотная вибрация улучшает тонус ягодиц 80 Гц, вместе с нейротстимуляцией","","","","Для понимания специфики нагрузки на позвоночник расскажите о вашей дейтельности. ","Ответ клиента на этот вопрос необходимо использовать в объяснении причины боли.","","Делаю зарядку и не болит","Я готов делать систематически заниматься своим здоровьем , т.к. это  облегчает боль, ","Объяснить причину боли, дополнить систематические занятия применением методики","Очень хорошо, что вы заботитесь о своем здоровье и занимается зарядкой. - половина терапивтическогго эффекта вы уже достигли. Для полного терапевтического эффекта важно устранить спазм межпозвонковых мышц, который зарядкой/гимнастикой достичь не возможно. Поэтому для устранения причины боли необходимо локально воздействовать эти мышцы, что можно сделать руками остеопата или профессиональными аппаратми Cordus Sacrus которые устраняют спазм, убирают  причину боли и дополнительным питанием хрящевых тканей, Вы получите не только снятие боли но и избавление от причины боли. "
"Перкуссионный массажер","Для расслабления любых групп мышц","Ударный пистолет предназначен для работы с любыми группами мышц для 100% расслабления! Реализованы  запатентованные режимы низкочастотной вибрации.","Облегчает расслабление напряженных мышц и связок
Способствует выработке эндорфинов
Расслабляет нервную систему
Усиливает лимфоотток
Помогает расщеплять жир после мышечной нагрузки 
Положительно влияет на тонус кожи.
Обеспечивает дополнительный разогрева мышц (после разминки) перед тренировкой.
Быстро подготовит ваши мышечные волокна к интенсивной работе.","В данном массажере уникальная технология полного расслабления реализована на основе уже проверенного в Cordus Vibro и запатентованного режима низкочастотной вибрации
4 насадки и 6 режимов работы позволяют проработать все группы мышц от стопы до шеи
Низкочастотный режим 16 Гц, 1 скорость.
Среднечастотный режим 60–80 Гц, 2-4 скорость
Высокочастотный режим более 80 Гц, 5-6 скорость.","","","","Как именно беспокоит?(периодичность возникновения боли и интенсивность болевых ощущений)","Ответ клиента на этот вопрос необходимо использовать в объяснении причины боли.","","Лучше массажа ничего нет","Получал положительный эффект от массажа","Объяснить пользу от комплексного применения массажа с аппаратом. Показать экономическую выгоду","В некоторых случаях так и есть , при этом массажем не возможно устранить спазм глубоких мышц позвоночника.  Комплексную терапию можно сочетать с массажем, усиливать и закреплять полученный результат с помощью аппаратов. 
Курс у профессионального мануальщика, может избавить Вас от боли, и более того при разработке наших аппаратов за основу брался принцип мануальной терапии. 
Даже мануальщики сами Вам скажут , что после их коррекции позвоночника важно закрепить достигнутый результат, для чего наша методика как раз и нужна.  Поэтому приобретая методику Cordus+Sacrus, Вы получаете, домашнего мануального терапевта, тем самым вы можете получать у себя дома в любое время на протяжении длительного времени без траты времени и финансовых затрат.Стоимость одного аппарата соотвествует стоимости всего одного - двух приёмов к манульному терапевту .А глубина проработки мышц даже больше чем у мануального терапевта."
"Хондропротектор","Питание для суставов и связок","Необходим для закрепления результатов при  использовании аппаратов, в качестве питания и доп восстановления тканий на которые идет воздействие. Является идеальным средством для коррекции обмена веществ в мышцах, хрящевой ткани и костях."," -Восстановление структуру суставного хряща;
- улучшение состояния тканей опорно-двигательного аппарата;
- уменьшение износа суставов;- снижение воспалительного процесса;
- укрепление иммунитета;
","В основе хондропротектора — кедровый белок, богатый аминокислотами и витаминами, способствующий выработке коллагена и усваивающийся на 47% лучше животного белка.","3","Выявление предпринятых действий","Получить информацию о действиях которые не принесли результат, для дальнейшего выстраивания приемуществ аппаратов","Расскажите как пытались решить проблему?
Какое лечение применяли?","Ответ клиента на этот  вопрос необходимо использовать для объяснения почему не помогли предпринятые действия","Фиксируем ответы себе. При презентации методики всегда опираемся на сравнение с предпринятыми действиями. 

Если операция была - объясняем почему не помогла
Если операция планируется - объясняем почему может не помочь
Операция - то разрез тканей и местечковое устранение следствия боли. А то, что у вас компрессия дисков по всему позвоночнику операция никак не решает. Соответственно причина не решена и через некоторое время всё вернулось","Нужно посоветоваться с врачом","У клиента нет уверенности в эффективности","Дать понять, что назначение врача не обязательно, т.к. аппарат можно применять при отсуствии противопоказаний к массажу","Согласна, что уточнить у специалиста медицинский вопрос часто необходимо. А что именно вы хотите у него узнать? (Ждем ответ) Методика запатентованная в 48 странах  с доказанной клинической эффективностью в 78-94% и наличием медицинского регистрационного удостоверения, что говорит о том, что аппараты не навредят, если Вам не противопоказан обычный массаж. (Наш штатный невролог может Вас проконсультировать, чтобы Вам сэкономить время на поход на поход в поликлинику и обезопасить себя от контакта с больными в поликлиники)"
"Коллаген","Питание для красоты и молодости кожи, ногтей и волос. ","Функциональное питание CORDUS COLLAGEN на основе кедрового белка, рутина, лецитина и других ценных компонентов, разработано для поддержания красоты и молодости кожи, ногтей и волос. ","Поможет поддержать ваше здоровье: 
 - укрепляет волосы, ногти, зубы, суставы, сухожилия
-  оказывает противовоспалительный эффект и улучшит защитную микрофлору кожи.
Высокий уровень полезных витаминов в составе продукта способствует упругости и гладкости кожи, а также ускоряет процессы регенерации тканей.","В основе коллагена — кедровый белок, богатый аминокислотами и витаминами, способствующий выработке коллагена и усваивающийся на 47% лучше животного белка.","","","","Проводилась ли МРТ-диагностика? (нужно ли вставлять этот вопрос в список обязательных)","Результаты используем для объяснения как методика CORDUS+SACRUS поможет решить проблему зафиксированную в МРТ","","Я все таки пойду к врачу","Необходимо для упокоения одобрение врача","Предоставить данные для врача, для объективной оценки","Для объективной оценки и заключения, прошу вас показать информацию о наших аппаратах, для того чтобы врач понял на чем основан принцип действия методики. (Отправляем далее все материалы) Уточняем ФИО и город врача. Подскажите к каому врачу вы пойдете, т.к. возможно врач уже знаком с нашей методикой"
"Турмалиновый пояс","Для суставов , корректор осанки","Снимает боль в суставах, уменьшает воспаление без лекарств, а так же согревает и расслабляет мышцы","Перед использованием оптимально поместить изделие на поверхность, залитую солнцем на 30 минут. Турмалин в поясе должен «зарядиться». Этого заряда хватит на неделю. Перед тем как начать им пользоваться, слегка увлажните (прогладьте мокрой рукой). Вода – хороший проводник заряда.Не замачивать, не гладить утюгом! Применять его следует с постепенным увеличением времени: начиная с 5-10 минутного сеанса, постепенно увеличивая до 15-30 минут два раза в день. Изделие необходимо применять на голое тело или поверх неплотной одежды! Пояс нельзя стирать в стиральной машине и руками! можно слегка чистить влажной салфеткой. ","","4","Объяснение причины боли","Рассказать причину боли и объяснить почему предпринятые действия или бездействие не решает проблему","Исходя из вашего описания основная причина нарушений в позвоночнике лежат в спазмированности глубоких мышц позвоночника, которые сами не расслабляются и их перенапряжение приводит к сдавливанию диска или нерва. ","Показать что предпринятое действие не может помочь, из-за не воздействия на глубокие мышцы","Говорим больше клиента, отслеживаем реакцию клиента","Врач не рекомендовал","Опасение в том что навредит","Убедится, что врач знает и понимает методику. Объяснить что применение аппаратов допустимо без назначения врача","А что именно Вам не рекомендовал врач (применение массажа или применение нашей методики), а массаж Вам разрешен? Врач аргументировал , почему именно не стоит использовать методику? Применение наших аппаратов допустимо если нет противопоказания к массажу, поэтому, скорее всего врач не погрузился в методику наших аппаратов, раз не рекомендовал наши аппараты, но при этом не запретил массаж. (Если врач не знаком с методикой, то ему проще ее запретить)"
